dpto,TD,TO,TGP
Chocó,27.1,34.5,47.3
Guainía,21.1,53.1,67.3
Amazonas,20.2,57.5,72.1
Sucre,20.0,45.5,56.8
Cesar,18.9,48.8,60.2
Magdalena,18.6,50.2,61.7
Bolívar,18.5,51.3,62.9
La Guajira,18.4,51.3,62.9
Putumayo,18.1,61.2,74.8
Atlántico,17.8,53.7,65.3
Boyacá,17.7,49.0,59.5
Córdoba,17.5,47.2,57.2
Vaupés,17.1,53.2,64.2
N. Santander,15.5,49.0,57.9
Valle del Cauca,14.8,53.7,63.0
Tolima,14.8,51.4,60.3
Huila,14.5,56.1,65.6
Cauca,14.3,51.9,60.5
Meta,13.8,55.7,64.6
Caquetá,13.6,53.2,61.6
Arauca,13.5,60.6,70.1
Antioquia,13.4,53.8,62.1
Quindío,13.2,51.9,59.8
Santander,13.2,55.3,63.7
Nariño,13.1,53.0,61.1
Casanare,13.0,66.5,76.4
Bogotá,12.9,60.6,69.6
Vichada,12.8,65.9,75.6
Caldas,12.7,49.5,56.7
Cundinamarca,12.3,58.5,66.7
Risaralda,12.2,55.0,62.6
Guaviare,11.2,63.2,71.1
San Andrés,8.9,69.0,75.8
